appName,amount,describe,cost,applications
随心借,,,,2494
虎虎钱包,1000-5000,芝麻分550 人人可下款,0.03%,8890
借点儿,1000-3000元,芝麻分600，无视黑白，不下款包赔,,10686
便捷花,800-3000,三分钟申请，一分钟下款,0.85,11294
红红钱包,1000-3000,芝麻分590+无负面，立马放款,0.01%,5386
小鹿回收,600-5000,小额借款,日0.01%,26356
星月宝,1000-10000元,有身份证即可贷款,0.098%/日,3441
金山贷款,,金山软件旗下口子，额度最高10w,,3075
来客优,1000-20000,,0.03%,3351
阳光钱袋,,银行口子，额度最高50w,,4701
发薪贷,100-5000元,1分钟申请 10分钟审核 即刻到账,日利率0.03%,8192
51零用钱,500-5000元,简单，快捷，最高5000,0.2%/日,2844
工资钱包,500-50000,利息低，最高50000,最低0.035%/日,5049
51人品,3000-10万,放款快，最高100000,0.03/日,9931
借有道,200-10000,放款快，最高10000,1%/日,2844
任性花,500-8000,简单，快捷，额度高,0.20%,2568
随手借,500-1万,30分钟放款，全额到账,0.033%/月,5068
奇速贷,100-3000元,最快20分钟到账,未知,5692
360借条,10万以上,需要征信 最高20万,日费率0.03%,3948
功夫贷,5万-10万,信用卡贷款，审核快速，最高10万,0.55%-1%,4890
借乐花,1000-3万,申请门槛降低 芝麻分只需590即可,0.75-2.5%,7771
快贷,1000-8000元,身份证+手机1000额度起,0.6%/月,11920
安逸花,1000-1万,随用随借，无需面签，最快1分钟放款,日息0.0483,23007
先花一亿,500-1万,新户贷款1小时极速到账,日利率万分之五,5379
恒易贷,1万—20万,纯线上模式,月利率0.75%,6582
中安信业,5000-50万,需要面签,日息0.04%,3084
厚钱包,1000-50万,凭信用卡或公积金，轻轻松松借10万,1%/月,5727
秒分,1000-3万,消费者提供购物分期和旅游分期服务,1.6-2.89%/月,3241
指尖贷,1000-1万,纯信用 无抵押无担保,服务费1.6元/天,3167
豆豆钱,1000-3万,7天免息 到账迅速,0.75%/月,4109
麦芽贷,1000-1万,信用分期需要授权芝麻分和信用卡,0.3%/日 4%/期,6769
我来贷,3000-5万,授权芝麻分，最高5万,月利率1.36%,3567
滴答贷  嗨秒贷,300-5000元,身份证、学生证认证下款,未知,3509
还卡超人,100-5000元,拍拍贷旗下，最高5万,未知,9107
小额钱袋,100-5000元,急你所需，极速放款,日利率0.1%，服务费0.9%,3767
江湖救急,100-1000元,小额快捷的借款产品，无需抵押，无需征信,月费率1.5%,17558
财神钱庄,500-1万,资料简单  极速放款  最高5000,7天借款0.05%/日；14天借款0.06%/日,8552
信闪贷,100-5000元,纯线上信用借款，快速到账,日息低至0.05%,3033
快来贷,500-5000元,借款审核快，放款快至1小时！低息借贷,0.22%-0.36%,2808
云科贷,100-5000元,有信用卡即可申请，无抵押下款快,日费率0.08%,31745
你我贷,3000-3万,有信用卡即可申请，无需征信。,0.5-0.83%/月,5254
小赢卡贷,2000-6万,有信用卡3分钟极速放款,0.34%/月,11745
给你花,500-1万,上班族、学生党均可申请,月利率1.00%,9473
闪电借款,500-1万,用身份证就能借款,月手续费1%,3505
小花钱包,3000～3万,年轻人的互联网钱包,日费率0.50%,8120
闪银,100-5w,目前最靠谱的小贷产品，审核快，下款快,1.00%/月,12089
马上贷,1000-8000元,8000元现金 最快三分钟放贷,1.53%/月,9395
借钱快,500-5000元,"方便！3分钟填信息,随借随还",0.1%—1%/天,5859
随心贷,500-5000元,非循环额度，有效期内一次取现,0.1%/日,8911
曹操贷,100-3000元,拍拍贷旗下 最快10分钟,0.3%/日,39057
魔法现金,300-5000元,身份证+手机号，轻松借5000,0.03%/日,46973
大小贷,5000-2万,白领及蓝领的金融服务平台,日利率0.7%,15920
及贷,500-1万,凭身份证就能贷，最高1万等你拿,0.03%/日,20047
现金巴士,500-1000元,可无限延期,0.85%/月,21349
贷款黑卡,100-1000元,最新黑户口子 贷款黑卡  最高1000, 综合费用90元,20231
贷上钱,500-1000元,可无限延期,0.85%/月,9081
宜人贷,10万以上,"凭信用卡,公积金,工资流水,人寿保单都可贷",月利率0.78%起,11229
叮当贷,5万-10万,凭信用卡能借最高10万,月利率2.5%,23102
玖富万卡,20万,额度高 期限长且可以循环使用,0.59%,29678
卡卡贷,1000-5万,低费率代还信用卡！ ,利率0.45%,11157
51金e贷---蜂e贷,3000-5万,提款后送最高360元现金券，3步到账,最低月费率0.51%，最低日利率0.017%，2.5%-4%,5379
好易借-爱分期,3000-5000,好易借，极速放款，超低利息，可分期还款！,12个月，年化13.5%,10384
51返呗--极速贷,3000-20000,3秒审核、30秒放款、登录即送158免息券,0.05%/天,18249
蜂优贷,1000元,无砍头息的现金贷平台！,日息0.09%，月息2.7%，年化32.4%,5398
众安点点,1000-50000,点点 稳定不套路 最高可借5w  ,日利率 0.025%,8812
纷信信用,500-5000元,纷信信用 芝麻分500以上即可借 2分钟到账5000  ,0.1%/天,9083
斑客小贷,100-1000元,不论你是黑户还是白户，只要你有学信你就来，秒下1000元！,日费率0.1%-0.2%,11173
仟佰快,1000-1500,到账最快五分钟，方便快捷,1%月息,7484
趣还钱,1000-3000,快捷方便，不看征信,0.04%/日,18032
惠享借,500-1000元,想借就借的千元小贷,日费率0.1% 日息0.1%+技术服务费180元/笔 ，借1,6449
省呗,1000--20000,信用卡代还,,4961
闪银宝,500~3500,极速审核，闪电放款,,5640
千金易,1000,新口子，无押金，不上征信，芝麻分580，额度人人2000， 10分钟极速下款。 ,,17575
奇乐现金,500-5000,急用钱找奇乐现金，高效，快速，简便, 日息0.05%,20522
树袋钱包,1000-50000,适合年轻人和工薪阶层！,0.7%/天,11717
侬要贷,1000,系统自动审核，当天审核当天放款，适合上班族，工薪族进行申请.,,10747
钱塘浪花,1000-5000,通过在线自动审批、自动银行放款的方式为用户提供小额、短期的借贷服务。,0.096%日息,12050
易兴无忧,500-10000,一分钟认证，十分钟审核，半小时放款,0.042%日利率,5494
赫美易贷,200000,额度高，快捷方便,最低1%,7613
51金盈贷---我来贷,3000-5万,新用户送1000免息额度，30天使用期，全国开放申请,最低月费率0.46%，最低日利率0.015%,2819
三叶贷,,18周岁以上，实名电话半年以上芝麻分600以上,日息0.05%,7422
商奇宝,1200-3000,只凭一张身份证即可申请5000元,3.3%日,9655
小和钱包,500-2000元 ,纯信用借款，5分钟申请，100秒到账，学生党，上班族均可,3%月,3263
友额度,1000-10万,借条,0.04%-0.4% 月,13328
金成贷,500-3000元,操作简便，全线上审核，极速下款，3分钟到账。, 0.02%/天,3652
盈盈有钱,3000-500000,低息大额消费分期平台 最高5W,日息：0.09847%,8159
小猪白卡,700-3000,苹果ID贷,日息0.067%,7447
袋鼠达人,500-3000,一分钟认证，十分钟审核，半小时放款,0.042%日利率,5311
荟借钱包,3000~50000,无需信用卡，最高5万,月综合费率：0.75%~1.70%,3629
立字据,1000-3000,借条/借贷宝,日利率0.04%(不包含其他综合费用),12151
引力口袋,500--10000,审核简单，放款快,0.042%/日,41627
贷贷宝,1000--6000,审核简单，放款快,0.028%/日,9668
随便借,1000-20000,身份证，实名手机号 芝麻分580以上,,3612
蜂鸟时代,500~5000,新产品，通过率高，资金稳定,0.02%,7283
借无忧,500-20000,小额极速贷、工薪贷、放款快、不查征信、有淘宝就能贷,日利率0.03%,2928
钱少爷,1000-5000,550分以上，宁坡高炮系列,36,10737
简单信用,1000-5000,芝麻分500以上,0.02%/天,10827
蛙蛙有钱--原招财蛙,1000-5000,芝麻600分，便可快速贷款，极速下款,7天0.07%,4275
51借你钱,500-10000,,36%,12564
金优品,5000--20000,"易申请，额度高,放款快",0.08,7085
同程旅游-提钱游,500-200000,纯信用，到账快，额度高，利率低,日息0.035%,3461
金牛贷,10000-500000,大额贷款产品！优质客户首选,0.07%,12437
荣耀黑卡,5000-10W,开卡有费用199元,0.05%,4587
魔力卡宝,1000-50000,信用卡代还单日最高5万，支持大额取现，秒到账,用0.85%/笔  ,6017
魔方钱包,2000-30000元,借条,日利息千分之3,9740
钱庄,1000-5000,操作简便，全线上审核，极速下款,200,10999
猪猪贷,1000-5000元,操作简便，全线上审核，极速下款，3分钟到账,0.02%/天,6383
百度有钱花,1000-200000,仅需填写身份信息，提交材料后30秒后即可获得借款额度，最高额度200000元,,9601
借乐宝,,只需身份认证立到账,0.32%,16074
元宝壹号,1000--5000,通过率高，放款快,0.05%/日,2633
乐意花,5000-10000,分期还款，暂时不支持一次性结清，请使用每期按时还款,,25302
马上借,,移动金融智能搜索，亿万贷款极速发放,,3470
财多宝,1000-3000,纯信用贷 额度高 放款快！,0.03%,7578
麦子借款,1000-50000,额度3100~50000，可借12~36期.大平台,,4188
闪分期管家,500-5000,极速贷系列产品，3分钟申请，最快10分钟放款。,日息 0.05-0.09%,5774
信用快贷,1000-5000,优质小额现金贷全新平台，芝麻600分，便可快速贷款,0.03%,2976
立即贷,500-5000,通过率高达92%,0.065%日息，1.95%月息,6262
环球黑卡,1000元-30万元,开卡费199,日利率万分之1.8,3936
有个钱包,500-5000,门槛低，无抵押，有手机号即可贷,日利率：0.098%,24723
七天卡包,1000元至5000元,无视黑白户3分钟放款,日息0.03%,9571
急用荷包,1000-5000,芝麻分580以上，有身份证即可贷,日息0.05%,5726
诚旭钱包,1500,"小额极速贷,综合信用贷,工薪贷",日息0.02%,7649
凡易贷,1000-5000,凡易贷门槛低，审核快，利率低，极速到账，可循环使用,0.02%,10087
来易钱包,800-2000,专为工薪族及信用卡用户打造的小额现金贷平台,日息0.05%，月利1.5%,2822
小树时代,600-10000,最高额度10000元,月利息低至0.7%,4224
快租,1000-3000,当天下款，不在是梦,日利率 7天0.5%,4428
鼎力钱包,500-5000元,全线上审核，极速下款，3分钟到账。,0.02%/天,4442
钱多多,10000-200000,有信用就能贷，最低1w，高至20w,0.85%/月,3541
小浪钱包,2500-3000," 无抵押贷款，易申请，额度高,放款快",,5439
笑宜钱包,2500-3000,"无抵押贷款，易申请，额度高,放款快",,4376
马克钱包,600-3000,新口子 通过率高 秒下款,0.03%,20205
蛋花花-现金分期,1000-5000元,蛋花花-随时随地，想借就借！,日综合利率/0.067%,6801
房司令-现金分期,500-150000，件均1w,最高可借15万！利率低！下款快！,月息0.59%-3%,9039
瑶钱树,500-5000,优质小额现金贷全新平台，芝麻600分，便可快速贷款；极速下款,7天0.03,5366
蚂蚁金宝,500-3500,优质小额现金贷全新平台，芝麻600分，便可快速贷款；极速下款,0.07%,4548
子弹头,500-3500,芝麻560，快速下款,日息0.05%,4033
金银花,1k-50k,芝麻分580以上，无抵押，高通过,0.05%（日息）,6587
诺秒贷,5000-50000,提供一个简单方便、灵活快捷的借款新模式,年利率36%,22090
人人贷,10000-100000,人人贷借款用心服务于手机贷款用户,月息0.78%,4250
月来花,1000-5000,门槛低，审核快，效率高，放款快,日息0.05%,6587
肉肉钱包,500~1500,"短期小额口子，无负面,秒放",,8153
速盈,500-3000,"小额极速贷,综合信用贷,工薪贷",日息0.03%,5843
伏地魔,100-3000,让借钱更省心,日息0.02%,10837
周转包,1000-3000,10分钟全程自动下款,,7053
启航速贷,800-2000,一分钟申请，56秒下款,日息0.05%，月利1.5%,3738
零钱袋子,500-10000,极速借款，10秒审批，1分钟到账,0.03%/天,8447
盛隆钱包,3000-10000,极速放款，额度灵活,,3133
钱站,1000-100000,缺钱上钱站,年利率10.83%,11023
