贷款名称,公司,贷款金额,月利率,贷款期限,月管理费率,放款时间,手续费率
新食贷,新新贷（上海）金融信息服务有限公司杭州分公司,10-150万,2-2.7%,3-12个月,0.01-0.01%,3个工作日,0.01-0.01%
业主贷,友众信业金融信息服务（上海）有限公司龙岩分公司,1-10万,2.48-2.48%,24-36个月,0.01-0.01%,3个工作日,0-0%
生意贷,友众信业金融信息服务（上海）有限公司龙岩分公司,1-20万,2.58-2.58%,18-18个月,0.01-0.01%,3个工作日,0-0%
友信—秒贷,友众信业金融信息服务（上海）有限公司荆州第一分公司,1-20万,1.65-2.28%,12-36个月,0.01-0.01%,3个工作日,0.01-0.01%
生意贷,四川航宇汇金投资管理有限公司,20-500万,0.45-1.5%,6-48个月,0.01-0.01%,2个工作日,0.1-0.5%
和信—寿险贷,和信信息服务有限公司九江分公司,2-15万,1.58-2.18%,6-36个月,0.01-0.01%,2个工作日,0.01-0.01%
和信—微粒贷,和信信息服务有限公司九江分公司,2-15万,1.58-2.18%,6-36个月,0.01-0.01%,2个工作日,0.01-0.01%
恒楼贷,北京恒昌惠诚信息咨询有限公司宜春分公司,2-15万,2.38-2.58%,12-24个月,0.01-0.01%,3个工作日,0.01-0.01%
友众信业—秒贷,友众信业金融信息服务（上海）有限公司重庆第二分公司,2-20万,1-2.28%,36-36个月,0.01-0.01%,秒批,0.01-0.01%
中腾信—信优贷,中腾信金融信息服务（上海）有限公司乌兰察布第一分公司,2-20万,0.99-1.79%,12-36个月,0.01-0.01%,2个工作日,0.01-0.01%
和信—车主贷,和信信息服务有限公司九江分公司,2-50万,0.88-2.5%,3-24个月,0.01-0.01%,1个工作日,0.01-0.01%
精英贷,北京恒昌惠诚信息咨询有限公司宜春分公司,2-50万,1-1.88%,12-36个月,0.01-0.01%,3个工作日,0.01-0.01%
助业贷,北京恒昌惠诚信息咨询有限公司宜春分公司,2-50万,2.58-2.58%,12-24个月,0.01-0.01%,3个工作日,0.01-0.01%
航宇汇金—生意贷,四川航宇汇金投资管理有限公司,3-100万,0.45-1.5%,6-48个月,0.01-0.01%,2个工作日,0.1-0.5%
