平台名称,成交量,成交额,平均利率,平均期限,地区 ,
 红岭创投 ," 6,958 笔 "," 20,045.82 万元 ",13.22%, 0.75 月 , 深圳 , 
 网信理财 , 750 笔 ," 14,444.61 万元 ",8.26%, 6.28 月 , 北京 , 
 宁波银行 ," 1,544 笔 "," 12,049.23 万元 ",5.33%, 7.92 月 , 宁波 , 
 微贷网 , 134 笔 ," 8,946.51 万元 ",5.78%, 1.37 月 , 杭州 , 
 金汇金融 , 17 笔 ," 7,770.00 万元 ",6.91%, 14.89 月 , 贵阳 , 
 人人贷 , 609 笔 ," 6,027.39 万元 ",9.85%, 34.63 月 , 北京 , 
 点融网 ," 52,093 笔 "," 5,411.06 万元 ",10.13%, 33.34 月 , 上海 , 
 晋金所 , 18 笔 ," 5,286.50 万元 ",6.11%, 9.73 月 , 太原 , 
 浙里投 , 2 笔 ," 5,000.00 万元 ",6.98%, 12 月 , 杭州 , 
 你我贷 ," 14,627 笔 "," 4,564.34 万元 ",10.14%, 12.26 月 , 上海 , 
 桔子理财 , 15 笔 ," 4,327.71 万元 ",6.86%, 5.79 月 , 深圳 , 
 投资宝 , 434 笔 ," 3,762.20 万元 ",18.76%, 0.88 月 , 深圳 , 
 银湖网 , 177 笔 ," 3,636.19 万元 ",10.42%, 6.36 月 , 北京 , 
 叮咚钱包 ," 6,605 笔 "," 3,510.69 万元 ",10.12%, 4.39 月 , 北京 , 
 91旺财 , 319 笔 ," 3,395.74 万元 ",7.03%, 1.91 月 , 北京 , 
 向前金服 , 11 笔 ," 3,311.88 万元 ",7.64%, 8.43 月 , 北京 , 
 信用宝 , 633 笔 ," 3,238.49 万元 ",12.18%, 23.58 月 , 北京 , 
 翼龙贷 , 33 笔 ," 3,124.66 万元 ",8.50%, 11.86 月 , 北京 , 
 温商贷 , 34 笔 ," 3,110.00 万元 ",10.61%, 4.86 月 , 吐鲁番 , 
 e联贷 , 31 笔 ," 3,100.00 万元 ",12%, 11.42 月 , 济宁 , 
 华夏信财 , 25 笔 ," 3,042.78 万元 ",8.79%, 12.34 月 , 上海 , 
 宜人贷 , 368 笔 ," 2,951.73 万元 ",11.61%, 31.35 月 , 北京 , 
