平台名称,成交额,综合利率,投资人,借款周期,借款人,满标速度,累计贷款,资金净流入
陆金服 ,1150121.42万 ,8.44%,170927人 ,32.70月 ,378524人 ,-- ,15855843.42万 ,21101.63万 
微贷网 ,477420.16万 ,6.79%,176976人 ,4.06月 ,55818人 ,8.48分钟 ,1855379.94万 ,-33408.21万 
PPmoney网贷 ,312384.84万 ,8.84%,160733人 ,17.07月 ,1389804人 ,9.89分钟 ,1325160.88万 ,179281.7万 
轻易贷 ,223743.03万 ,8.69%,29154人 ,5.58月 ,15279人 ,4.08分钟 ,874488.71万 ,-9729.03万 
小赢网金 ,164240.96万 ,7.84%,101927人 ,12.16月 ,346878人 ,23.80分钟 ,1656877.75万 ,-131090.08万 
宜贷网 ,129269.01万 ,14.93%,28186人 ,17.91月 ,35719人 ,676.19分钟 ,-- ,-18001.96万 
翼龙贷 ,121569.44万 ,8.89%,54990人 ,10.86月 ,31344人 ,214.22分钟 ,1567011.24万 ,-56578.14万 
点融网 ,120612.29万 ,11.32%,137375人 ,28.18月 ,53091人 ,1.91分钟 ,1171402.12万 ,-82567.91万 
团贷网 ,115222.71万 ,10.67%,181891人 ,21.25月 ,22979人 ,447.76分钟 ,1891624.47万 ,-74227.14万 
银谷在线 ,107368.92万 ,12.68%,55786人 ,26.89月 ,55882人 ,253.97分钟 ,1084658.05万 ,-65282.77万 
凤凰金融 ,106557.72万 ,8.51%,53504人 ,21.57月 ,72836人 ,38.84分钟 ,983734.63万 ,3506.65万 
小牛在线 ,89581.25万 ,9.87%,93981人 ,11.10月 ,65991人 ,286.41分钟 ,1116956.88万 ,-15649.27万 
玛瑙湾 ,85880.89万 ,6.60%,24561人 ,3.41月 ,165272人 ,1.86分钟 ,305028.9万 ,-18204.55万 
信和大金融 ,62304.99万 ,8.40%,5800人 ,8.84月 ,3665人 ,170.76分钟 ,548106.29万 ,-58044.07万 
和信贷 ,58539万 ,7.32%,12095人 ,1.20月 ,307人 ,397.43分钟 ,87123.79万 ,-33795.62万 
91旺财 ,55892万 ,7.16%,8767人 ,2.47月 ,888人 ,390.19分钟 ,176780万 ,-23394万 
有利网 ,45393.78万 ,9.57%,76489人 ,14.35月 ,104659人 ,0.08分钟 ,2029720.93万 ,-103218.3万 
拓道金服 ,40319.59万 ,7.02%,6230人 ,3.27月 ,3710人 ,169.33分钟 ,123199.38万 ,-15201.42万 
招商贷 ,40130.7万 ,10.16%,6509人 ,5.26月 ,547人 ,445.20分钟 ,187414.15万 ,3546.49万 
民贷天下 ,37070.95万 ,10.40%,20346人 ,22.29月 ,335590人 ,3.73分钟 ,240111.48万 ,-26254.1万 
金投行 ,34796.57万 ,7.32%,4117人 ,6.60月 ,2691人 ,5.95分钟 ,148867.69万 ,6564.54万 
汇中网 ,32464.18万 ,6.55%,3368人 ,29.93月 ,4897人 ,3.88分钟 ,739455.81万 ,-5963.04万 
中业兴融 ,31510.78万 ,13.66%,20132人 ,29.88月 ,105349人 ,0.89分钟 ,355850.02万 ,7448.93万 
新升贷 ,30793万 ,11.99%,398人 ,1.22月 ,5086人 ,27.33分钟 ,57807.78万 ,3439.45万 
投哪网 ,29527.47万 ,8.75%,-- ,14.08月 ,7554人 ,-- ,646119.48万 ,-16902.61万 
花虾金融 ,28733.38万 ,10.20%,24044人 ,24.59月 ,308129人 ,-- ,99961.62万 ,10938.7万 
博金贷 ,28582.5万 ,8.38%,4578人 ,3.58月 ,3334人 ,332.01分钟 ,146083.13万 ,-11018.22万 
城铁在融 ,28535.96万 ,14.52%,2353人 ,3.85月 ,84人 ,90.59分钟 ,43156.42万 ,3814.84万 
