appName,timeOnline,rate,score
团贷网,2012/7/15,11.70%,3.5
前海惠农,2016/1/1,10.50%,3.3
和信贷,2014/3/7,12.20%,3
翼龙贷,2011/4/1,8.70%,3
你我贷,2011/6/18,13.10%,3.4
拍拍贷,2007/6/17,10.00%,3.1
微贷网,2011/7/8,6.80%,3.7
点融,2013/3/18,11.20%,2.9
人人贷,2010/10/13,12.20%,3.6
投哪网,2012/5/4,8.80%,2.8
向上金服,2013/8/16,11.70%,4
联金所,2013/11/1,11.90%,3.6
广信贷,2013/1/21,16.00%,3.5
捞财宝,2015/7/28,11.00%,3.1
积木盒子,2013/8/7,11.90%,3.2
E都市钱包,2016/7/1,8.40%,3.9
钱牛牛,2014/9/15,7.50%,3.7
PPmoney网贷,2012/12/12,9.80%,3
玖富,2013/10/10,9.50%,3
合众e贷,2015/11/16,10.50%,3.8
民贷天下,2014/12/31,10.40%,3.8
铜板街,2013/6/11,-,3.8
汇盈金服,2013/12/23,8.10%,3.7
麻袋财富,2014/12/8,10.50%,3.5
信而富,2010/11/1,11.00%,2.5
资产家,2016/5/30,-,0
兆京财富,2017/4/1,-,0
金多子,2017/12/5,-,4
亿舜金服,2017/1/16,-,0
开心宝财富,2017/1/1,-,0
微金石,2015/11/1,-,2.9
联安贷,2015/12/18,-,2.3
亿谱汇,2015/4/30,-,4.3
河南亿人,2017/9/13,-,4
咕咕理财,2017/9/15,-,4.6
百年银子市,2015/10/21,-,0
盾金所,2017/11/30,8.80%,4
余薪乐,2017/9/2,-,4
铂宁贷,2017/11/30,-,0
无忧微贷,2017/5/1,-,2
秀秀金服,2016/5/25,-,4.9
榄盛邦,2017/4/7,-,3.5
懿金服,2017/8/8,-,4.4
爱嘉富,2015/11/23,-,3.5
雨桥金融,2017/10/12,-,4.3
银海金服,2017/11/10,-,3.5
利群在线,2018/1/20,-,4.4
营普金服,2016/5/8,-,3.9
小财迷,2016/6/29,-,3.5
福气钱庄,2017/11/6,-,4.3
91飞猫,2017/8/1,-,2.9
利创投,2017/9/22,-,2.1
周周贷,2017/6/26,-,4
桑善金服,2017/11/24,-,4.1
一人一贷,2014/9/13,-,3
金呗金服,2017/11/29,-,0
秉利金服,2017/12/18,-,2.6
安合网,2013/9/25,-,0
利通金服,2016/4/20,-,0
蓝海金融,2017/9/25,-,2.8
贝果金融,2015/12/1,-,2.7
汇富万家,2015/3/26,11.00%,0
美环艺速,2017/8/10,-,3.7
农金宝互金,2015/5/1,-,2.6
油界贷,2016/5/12,-,0
贝多芬财富,2017/11/12,-,3.4
五福理财,2017/9/21,-,4
悠哉猫,2016/5/6,-,3.2
丰宝金服,2018/1/13,-,4.1
往来金服,2017/4/18,-,3.8
车励享理财,2017/10/12,-,3
菠菜理财,2017/9/28,-,3.4
企商理财,2017/6/16,-,4.5
